covariate,smd_pre,abs_smd_pre,smd_post,abs_smd_post
resp_rate_post_mean,-0.0070718683894168,0.0070718683894168,0.044978641556543,0.044978641556543
resp_rate_pre_mean,-0.0688535572676156,0.0688535572676156,0.0646109016356404,0.0646109016356404
resp_rate_slope,0.1071646260671351,0.1071646260671351,0.0261601849130349,0.0261601849130349
resp_rate_std,-0.111164740109528,0.111164740109528,0.0366567116506891,0.0366567116506891
sapsii_max,0.5361806341325207,0.5361806341325207,0.1596365362314909,0.1596365362314909
sapsii_mean,0.5361806341325207,0.5361806341325207,0.1596365362314909,0.1596365362314909
sapsii_median,0.5361806341325207,0.5361806341325207,0.1596365362314909,0.1596365362314909
sapsii_min,0.5361806341325207,0.5361806341325207,0.1596365362314909,0.1596365362314909
sapsii_std,0.0,0.0,0.0,0.0
sbp_delta,0.1042762540152995,0.1042762540152995,0.0066555321902277,0.0066555321902277
sbp_max,-0.1901614155409079,0.1901614155409079,0.0129078599963018,0.0129078599963018
sbp_mean,-0.2990862757836148,0.2990862757836148,-0.0551410002002439,0.0551410002002439
sbp_median,-0.2777014393899606,0.2777014393899606,-0.0590098443298642,0.0590098443298642
sbp_min,-0.2811022213872977,0.2811022213872977,-0.0948544244960404,0.0948544244960404
sbp_post_mean,-0.205496924594961,0.205496924594961,-0.046279297135319,0.046279297135319
sbp_pre_mean,-0.2990862757836148,0.2990862757836148,-0.0551410002002439,0.0551410002002439
sbp_slope,-0.0062839494577657,0.0062839494577657,-0.0013025616916058,0.0013025616916058
sbp_std,-0.2235794293349624,0.2235794293349624,-0.0671485601700119,0.0671485601700119
severe_liver_disease_max,0.2893823583865821,0.2893823583865821,0.0797152160567309,0.0797152160567309
severe_liver_disease_mean,0.2893823583865821,0.2893823583865821,0.0797152160567309,0.0797152160567309
severe_liver_disease_median,0.2893823583865821,0.2893823583865821,0.0797152160567309,0.0797152160567309
severe_liver_disease_min,0.2893823583865821,0.2893823583865821,0.0797152160567309,0.0797152160567309
severe_liver_disease_std,0.0,0.0,0.0,0.0
sofa_delta,0.1891934557225856,0.1891934557225856,0.034759789900882,0.034759789900882
sofa_max,0.6458736307048225,0.6458736307048225,0.3002069701683746,0.3002069701683746
sofa_mean,0.5865221244916916,0.5865221244916916,0.2458691675439414,0.2458691675439414
sofa_median,0.5491682227441962,0.5491682227441962,0.2324059353507156,0.2324059353507156
sofa_min,0.5017227908182572,0.5017227908182572,0.1758722902515378,0.1758722902515378
sofa_post_mean,0.6498938522202242,0.6498938522202242,0.2352052826689479,0.2352052826689479
sofa_pre_mean,0.5865221244916916,0.5865221244916916,0.2458691675439414,0.2458691675439414
sofa_slope,-0.1635590784297139,0.1635590784297139,-0.1890038591682719,0.1890038591682719
sofa_std,0.2605809807475264,0.2605809807475264,0.1513498425415058,0.1513498425415058
spo2_delta,0.0391680439758219,0.0391680439758219,0.0712623888323724,0.0712623888323724
spo2_max,0.2807819718339095,0.2807819718339095,0.0541654969018736,0.0541654969018736
spo2_mean,0.2428878278719578,0.2428878278719578,-0.0123604721344114,0.0123604721344114
spo2_median,0.2319326981006649,0.2319326981006649,-0.0207255037303108,0.0207255037303108
spo2_min,-0.0188201498237214,0.0188201498237214,-0.0874109609878524,0.0874109609878524
