level,group,k,cluster,outcome,n_pairs,n_treated,n_control,treated_mean,control_mean,effect,ci95_low,ci95_high
cluster,benefit_apparent,3.0,2.0,nee_mcgkgmin_max,6952,6952,2935,0.20536536248561563,0.1837686996547756,0.021596662830840052,-0.020298403337169157,0.07793149453394704
cluster,benefit_apparent,3.0,2.0,icu_los_hours,6952,6952,2935,534.4619054468737,413.50175009589566,120.96015535097814,104.26187008534714,139.69989301639814
scan_group,benefit_apparent,3.0,,mortality_anytime,10009,10009,3158,0.3845539014886602,0.4456988710160855,-0.06114496952742532,-0.07529473473873514,-0.04695773803576781
scan_group,benefit_apparent,3.0,,vm_time_hours,8234,8234,2436,116.22946724961541,59.262794510565946,56.966672739049464,53.62992854829569,60.65290988583919
scan_group,benefit_apparent,3.0,,ventilation_hours,10009,10009,3158,64.28073900156525,32.8844290138875,31.396309987677757,28.956498526326303,33.92001302993972
scan_group,benefit_apparent,3.0,,rrt_on,10009,10009,3158,0.10350684384054351,0.06454191227894894,0.038964931561594564,0.031519132780497554,0.04681037066640024
scan_group,benefit_apparent,3.0,,any_vasopressor,10009,10009,3158,0.5863722649615346,0.5814766709961036,0.004895593965431112,-0.008792087121590568,0.01773653711659506
scan_group,benefit_apparent,3.0,,nee_mcgkgmin_max,10009,10009,3158,0.2652652612648616,0.2003027275452093,0.06496253371965231,0.030750949145768813,0.11052000699370565
scan_group,benefit_apparent,3.0,,icu_los_hours,10009,10009,3158,732.8292453458554,421.44490791620865,311.3843374296466,291.9272425650248,330.91903744962866
article_oriented_group,benefit_apparent,3.0,,mortality_anytime,10009,10009,3158,0.3845539014886602,0.4456988710160855,-0.06114496952742532,-0.07529473473873514,-0.04695773803576781
article_oriented_group,benefit_apparent,3.0,,vm_time_hours,8234,8234,2436,116.22946724961541,59.262794510565946,56.966672739049464,53.62992854829569,60.65290988583919
article_oriented_group,benefit_apparent,3.0,,ventilation_hours,10009,10009,3158,64.28073900156525,32.8844290138875,31.396309987677757,28.956498526326303,33.92001302993972
article_oriented_group,benefit_apparent,3.0,,rrt_on,10009,10009,3158,0.10350684384054351,0.06454191227894894,0.038964931561594564,0.031519132780497554,0.04681037066640024
article_oriented_group,benefit_apparent,3.0,,any_vasopressor,10009,10009,3158,0.5863722649615346,0.5814766709961036,0.004895593965431112,-0.008792087121590568,0.01773653711659506
article_oriented_group,benefit_apparent,3.0,,nee_mcgkgmin_max,10009,10009,3158,0.2652652612648616,0.2003027275452093,0.06496253371965231,0.030750949145768813,0.11052000699370565
article_oriented_group,benefit_apparent,3.0,,icu_los_hours,10009,10009,3158,732.8292453458554,421.44490791620865,311.3843374296466,291.9272425650248,330.91903744962866
cluster,harm_apparent,5.0,0.0,mortality_anytime,1813,1813,1259,0.46056260341974625,0.3910645339216768,0.0694980694980695,0.03750689464975179,0.09931053502482072
