group_id,feature,smd_unweighted,smd_overlap,smd_iptw
M1,any_vasopressor_std,0.16765824059695505,0.033757408509004695,0.0010648700221947305
M1,any_vasopressor_first,-0.09372578360890933,-0.06262532497162508,-0.016668436083219284
M1,any_vasopressor_last,0.23840526075954052,0.2165513080724504,0.16149894563365919
M1,any_vasopressor_delta,0.24132913021007432,0.20412703420378397,0.13211013870296207
M1,any_vasopressor_slope,0.041258482208500445,0.06068499668407189,0.03758887321189097
M1,ventilation_on_mean,0.027210454559834656,-0.07917440059099835,-0.0717573036422493
M1,ventilation_on_median,-0.004626292938321155,-0.07465478710851702,-0.08341045763671867
M1,ventilation_on_min,-0.27609984858678555,-0.15505231767391028,-0.03467872888254084
M1,ventilation_on_max,0.15453087879723684,-0.04695837821715474,-0.02028460088434937
M1,ventilation_on_std,0.2966692391955918,0.06727144096438058,0.03744076082758553
M1,ventilation_on_first,-0.16020487780526177,-0.04999746287715005,0.04196191531530312
M1,ventilation_on_last,-0.026654579638114104,-0.0913203534495947,-0.09895138246079269
M1,ventilation_on_delta,0.09751478356010358,-0.042422504957331665,-0.11852493443282744
M1,ventilation_on_slope,-0.16805639286231377,-0.09143277013418895,-0.1538872568203742
M2,age,-0.28901352452044576,-0.5010606181137018,-0.6906666858823994
M2,bmi,0.12553278122969355,0.1957295247841869,0.30634128082156975
M2,hemoglobin_mean,0.3449084368116688,0.3625147716009607,0.17877539656761637
M2,hemoglobin_median,0.375402537331701,0.4277309568026103,0.3054716417063811
M2,hemoglobin_min,0.031049185170690125,0.1058540676354799,-0.08823153273752857
M2,hemoglobin_max,0.32708237404539275,0.1431289103040529,-0.14237791256827534
M2,hemoglobin_std,0.14927770513286823,0.11671827196458458,0.11125587546337581
M2,hemoglobin_first,0.31420180432930706,0.14188881031898715,-0.14066984003114996
M2,hemoglobin_last,0.03860899127368207,0.11041241217730051,-0.06863586926870956
M2,hemoglobin_delta,-0.2682498430181323,-0.07017175560286863,0.09194894641185856
M2,hemoglobin_slope,0.23344155463158722,-0.041649114277610345,-0.005162686135878485
M2,lactate_mean,0.08170467827725801,-0.08061757945033725,-0.1093325661384064
M2,lactate_median,0.006373017986099291,-0.1543518524769012,-0.16841507346936074
M2,lactate_min,-0.094599526431504,-0.07464212862144917,0.06655622864229296
M2,lactate_max,0.2923579278495254,0.08974998385293996,-0.018832633761695385
M2,lactate_std,0.18177128209569418,-0.03152964093523929,-0.15473380996380465
M2,lactate_first,0.019043442046309644,0.014746202472457877,0.02304131851503758
M2,lactate_last,0.451685888833535,0.36314141752979207,0.30239993647230284
M2,lactate_delta,0.4544188783769443,0.36554693958292406,0.30042978397841996
M2,lactate_slope,0.03734756942640984,0.1448289316624055,0.20370682228436124
M2,creatinine_mean,0.023703334708024007,0.10758148272250094,0.10366117928103566
M2,creatinine_median,0.03595124118680697,0.10827327366637508,0.12588606402665303
M2,creatinine_min,-0.133072809492991,-0.017992195911792554,-0.006825695554312786
M2,creatinine_max,-0.0042295518164648,0.08098092412540579,0.057065635201852344
M2,creatinine_std,-0.04665420962625504,-0.0035232049132707236,-0.014698876248861275
M2,creatinine_first,-0.10635441702853304,0.038759239530930564,0.10367471413686694
M2,creatinine_last,-0.008410803115249945,0.06973555117746665,0.05857475562261362
M2,creatinine_delta,0.06562532405500753,0.04661371615670273,-0.010679737155620119
M2,creatinine_slope,-0.23168129396421475,-0.08106368774077248,-0.14018286792869347
M2,platelets_mean,-0.12655599645059967,-0.1926276576735866,-0.32374374656132077
M2,platelets_median,-0.12365134231892351,-0.16002675123441892,-0.24132284211709212
M2,platelets_min,-0.3336218892672142,-0.2778203334742791,-0.3746647081808707
M2,platelets_max,0.030158165618794325,-0.20059740019471461,-0.42701087217037575
M2,platelets_std,0.38889324957861837,0.21027893392002653,0.2008382842963907
M2,platelets_first,-0.0644726945583913,-0.20073444097680138,-0.3227501511987678
M2,platelets_last,-0.16905841348260048,-0.20794922227720408,-0.3538169857403162
M2,platelets_delta,-0.14894312286753975,-0.11102774714821384,-0.20007869458418578
M2,platelets_slope,-0.05633301737078575,-0.1534910290011461,-0.22314201617617405
M2,heart_rate_mean,-0.027087211251427733,0.16775624565043554,0.4185706137780274
M2,heart_rate_median,-0.10556353629141714,0.08083447412060833,0.29280951271238187
M2,heart_rate_min,-0.11351620045243171,0.22410345633158302,0.6145174724965938
M2,heart_rate_max,0.1547372466843449,0.20013069941418848,0.4067167185283243
M2,heart_rate_std,0.19050114144806932,0.026068928642044575,0.03161453001395497
M2,heart_rate_first,-0.11331310172647939,0.1371640172767023,0.4781974639096796
M2,heart_rate_last,0.09213506714498462,0.1350734276985616,0.3779291768382308
M2,heart_rate_delta,0.20499469749322535,0.03273422794618926,0.008218582734933455
M2,heart_rate_slope,-0.2912393020018847,-0.09011177923330246,-0.05111206449333602
M2,mbp_mean,0.016816062706026366,0.42062755416298514,0.6161508375585398
M2,mbp_median,-0.02541974724756125,0.376864095016783,0.535265754554907
M2,mbp_min,-0.25791771607501435,0.14675884738320127,0.277992202182453
M2,mbp_max,0.09887573239567476,0.16589444070193513,0.38528711986461867
M2,mbp_std,0.21173921255405528,0.15822291547320433,0.23725366138901346
